net,length_um
clknet_5_18__leaf_clk,430.91
_09283_,430.05
clknet_5_17__leaf_clk,429.67
_05925_,429.24
_06313_,428.705
_03231_,428.18
_09146_,428.06
net121,427.9
cur_mb_mem\[113\]\[7\],427.88
_05942_,427.59
_07008_,426.4
_06020_,426.3
cur_mb_mem\[245\]\[0\],426.3
cur_mb_mem\[211\]\[1\],426.2
_06211_,425.375
_06918_,425.34
clknet_5_13__leaf_clk,425.19
cur_mb_mem\[244\]\[1\],425
_07290_,424.64
_07597_,424.12
_06070_,423.98
_09149_,423.92
_07100_,423.9
_08902_,423.75
_03925_,423.64
_04423_,423.56
_07503_,422.96
clknet_5_14__leaf_clk,422.86
_06205_,422.51
_08999_,422.16
cur_mb_mem\[223\]\[0\],421.99
_06065_,421.925
_06348_,421.92
_03113_,421.32
_05934_,421.215
net114,420.44
net167,420.2
_02480_,420.18
_08289_,418.76
_02679_,418.26
_08345_,417.57
net214,415.28
net155,414.42
_03141_,413.84
net11,413.795
_05983_,413.66
net196,413.3
_06379_,413.295
cur_mb_mem\[201\]\[0\],413.15
net147,413
_07073_,412.8
_03104_,412.14
net17,411.64
clknet_5_2__leaf_clk,410.6
net144,410.58
cur_mb_mem\[201\]\[3\],409.86
_02431_,409.7
net53,409.36
clknet_5_31__leaf_clk,409.27
_09027_,409.02
_03972_,409
_06436_,408.56
_06028_,408.17
_08882_,407.87
_06272_,407.78
_04108_,407.66
cur_mb_mem\[201\]\[2\],407.18
_07294_,407.08
_07698_,406.9
clknet_5_4__leaf_clk,406.35
net3,406.13
_06002_,405.6
_08136_,405.04
clknet_5_6__leaf_clk,404.35
_04146_,403.32
_06209_,402.78
_09009_,402.19
clknet_5_8__leaf_clk,401.4
_07561_,400.92
clknet_5_15__leaf_clk,400.47
cur_mb_mem\[189\]\[7\],399.89
net188,399.56
_05990_,399.24
net13,398.98
_06027_,398.54
net69,398.22
_03114_,397.44
_06117_,397.09
_04214_,396.81
_08102_,396.04
_07070_,395.605
_02541_,395.3
net82,394.56
_07120_,394.23
_06433_,393.81
_07251_,393.52
state\[4\],392.84
net7,392.48
_02816_,391.62
_03743_,391.54
_06236_,391.45
_02365_,391.4
_02669_,390.88
_02759_,390.8
_08931_,390.65
net122,390.08
_04210_,389.82
_09157_,388.525
_06480_,388.34
_03352_,388.17
net4,388.09
_03558_,387.3
net154,386.54
_07493_,386.5
_03403_,386.46
net141,386.3
_06267_,386.275
_06106_,386.24
cur_mb_mem\[223\]\[3\],385.88
_02516_,385.6
_08325_,385.03
_06747_,384.28
cur_mb_mem\[223\]\[2\],384.05
_06751_,383.23
net218,383.23
_06488_,382.96
_07635_,382.44
cur_mb_mem\[96\]\[7\],382.38
_06402_,381.985
_04078_,381.755
cur_mb_mem\[218\]\[6\],381.51
cur_mb_mem\[79\]\[3\],381.28
_03036_,381.08
cur_mb_mem\[223\]\[6\],381.08
_08900_,380.87
_06973_,379.53
_06371_,379.32
_05955_,379.22
_06711_,379.13
_03187_,378.8
_08314_,378.73
_07576_,378.64
_06151_,378.59
_06143_,377.88
cur_mb_mem\[202\]\[7\],377.87
clknet_5_10__leaf_clk,377.75
net77,377.12
_07770_,376.92
_03741_,376.495
_04216_,376.1
cur_mb_mem\[198\]\[6\],376.1
_06014_,375.01
_05985_,375
_08132_,374.05
_02441_,373.64
_06325_,372.58
net34,371.98
_06394_,371.87
_06034_,371.46
_02842_,370.68
_07828_,370.34
cur_mb_mem\[27\]\[1\],370.17
_03177_,369.3
_03078_,368.08
_09132_,368.08
_07460_,367.38
_06963_,367.3
cur_mb_mem\[98\]\[7\],367.28
_03750_,366.94
_02427_,366.88
_06483_,365.17
_02529_,365
_02553_,364.975
_02881_,364.765
_07114_,364.74
cur_mb_mem\[4\]\[6\],364.51
_06778_,364.22
net27,363.48
clknet_5_12__leaf_clk,363.47
_06280_,363.435
_03963_,363.38
_09137_,363.155
_06945_,363.09
_02435_,362.82
cur_mb_mem\[74\]\[4\],361.76
_06188_,360.85
_08119_,359.8
clknet_5_20__leaf_clk,359.33
_04646_,359.28
net44,359.24
_06018_,358.97
_04088_,358.86
_06867_,358.8
net10,358.74
cur_mb_mem\[206\]\[7\],358.2
_02429_,357.88
_06178_,357.675
_06619_,357.42
_07715_,356.65
cur_mb_mem\[29\]\[7\],356.61
clknet_5_22__leaf_clk,356.37
_06627_,355.32
_03027_,355.04
_03692_,354.615
cur_mb_mem\[74\]\[5\],353.12
clknet_5_23__leaf_clk,353.11
_06399_,352.86
_06103_,352.62
_05651_,351.92
clknet_5_25__leaf_clk,351.19
_06017_,350.955
_05984_,350.655
_06496_,350.2
cur_mb_mem\[114\]\[7\],350.18
_04068_,349.88
_06453_,349.71
_05943_,349.34
_06098_,349.025
net67,348.5
_07367_,348.38
_03335_,348.2
_02408_,347.92
_04401_,347.89
_09139_,347.775
_04449_,347.28
_02471_,347.25
_06462_,347.11
_02437_,345.24
_06145_,344.88
_08635_,344.525
cur_mb_mem\[116\]\[7\],344.5
_07259_,344.02
_06022_,343.02
